# replication time (downloaded from Lawrence Nature 2013. Supplementary Table5)
chr	start	end	replication_time
1	108500001	108600000	554
1	108600001	108700000	517
1	108700001	108800000	454
1	108800001	108900000	440
1	108900001	109000000	480
1	109000001	109100000	367
1	109100001	109200000	313
1	109200001	109300000	225
1	109300001	109400000	191
1	109400001	109500000	236
1	109500001	109600000	216
1	109600001	109700000	168
1	109700001	109800000	215
1	109800001	109900000	287
1	109900001	110000000	302
1	110000001	110100000	272
1	110100001	110200000	187
1	110200001	110300000	201
1	110300001	110400000	190
1	110400001	110500000	181
1	110500001	110600000	216
1	110600001	110700000	373
1	110700001	110800000	400
1	110800001	110900000	371
1	110900001	111000000	379
1	111000001	111100000	479
1	111100001	111200000	589
1	111200001	111300000	640
1	111300001	111400000	730
1	111400001	111500000	764
1	111500001	111600000	715
1	111600001	111700000	708
1	111700001	111800000	627
1	111800001	111900000	559
1	111900001	112000000	461
1	112000001	112100000	348
1	112100001	112200000	330
1	112200001	112300000	394
1	112300001	112400000	440
1	112400001	112500000	569
1	112500001	112600000	623
1	112600001	112700000	636
1	112700001	112800000	622
1	112800001	112900000	503
